adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
,,,,,,,,1997-06-18,0,,,,,,,,,,,,,,,,,,,,,15.0,0.0,6-2,,,,,,,,,,,,,,,65,,,,Jake Bailey,,,,,,,,,,BailJa00,P,,,,77,,,,,,,,,,,,,,,,,,,,2019,,NWE,,,,,3460,,,,,205,,,,,,,44.9,,,,
,,,,,,,,1997-06-18,0,,,,,,,,,,,,,,,,,,,,,15.0,,6-2,,,,,,,,,,,,,,,65,,,,Jake Bailey,,,,,,,,,,BailJa00,,,,,77,,,,,,,,,,,,,,,,,,,,Career,,,,,,,3460,,,,,205,,,,,,,44.9,,,,
,,,,,2.0,5,,1996-08-24,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,6-2,,,1,0,,,,,,,,0,,,,,,,Ja'Whaun Bentley,,,,1,,,,,,BentJa00,de/lb,,,,,,,,,,,,,,,,,,,,,,0.0,,2018,9,NWE,,,,,,,,,,255,,,,,,,,,,,0
,,,,,,13,,1996-08-24,,,,,,,,,,,,,,,,,,,,,,15.0,2.0,6-2,,,0,0,,,,,,,,0,,,,,,,Ja'Whaun Bentley,,,,1,,,,,,BentJa00,lb,,,,,,,,,,,,,,,,,,,,,,0.0,,2019,25,NWE,,,,,,,,,,255,,,,,,,,,,,0
,,,,,2.0,18,,1996-08-24,,,,,,,,,,,,,,,,,,,,,,18.0,4.0,6-2,,,1,0,,,,,,,,0,,,,,,,Ja'Whaun Bentley,,,,2,,,,,,BentJa00,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,34,,,,,,,,,,,255,,,,,,,,,,,0
,,,,,1.0,0.0,,1990-06-17,,,,,,,,,,,,,,,,,,,,,,16.0,0.0,6-0,,,,,,,,,,,,,,,,,,,Justin Bethel,,,,,,,,,,BethJu00,,,,,,,,,,,,,,,,,,,,,,,0.0,,2012,1.0,ARI,,,,,,,,,,200,,,,,,,,,,,
,,,,,3.0,4.0,,1990-06-17,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,16.0,0.0,6-0,,,,,,,,,,,,,,,,,,,Justin Bethel,,,,,,,,,,BethJu00,,,,,,,,,,,,,,,,,,,,,,,0.0,,2013,18.0,ARI,,,,,,,,,,200,,,,,,,,,,-3.0,
,,,,,3.0,4.0,,1990-06-17,,,,,,,,,,,,,,,,,0.0,1.0,2.0,0.0,,16.0,0.0,6-0,,,,,,,,,,,,,,,,,,,Justin Bethel,,,,,,,,,,BethJu00,,,,,,,,,,,,,,,,,,,,,,,0.0,,2014,22.0,ARI,,,,,,,,,,200,,,,,,,,,,0.0,
,,,,,4.0,2.0,,1990-06-17,,,,,,,,,,,,,,,,,0.0,2.0,2.0,0.0,,16.0,5.0,6-0,,,2.0,1.0,,,,,,,,21.0,,,,,,,Justin Bethel,,,,9.0,,,,,,BethJu00,db/rcb,,,,,,,,,,,,,,,,,,,,,,0.0,,2015,31.0,ARI,,,,,,,,,,200,,,,,,,,,,0.0,21.0
,,,,,3.0,1.0,,1990-06-17,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,,16.0,3.0,6-0,,,1.0,1.0,,,,,,,,66.0,,,,,,,Justin Bethel,,,,6.0,,,,,,BethJu00,cb/db,,,,,,,,,,,,,,,,,,,,,,0.0,,2016,25.0,ARI,,,,,,,,,,200,,,,,,,,,,0.0,66.0
,,,,,3.0,10.0,,1990-06-17,,,,,,,,,,,,,,,,,,,,,,16.0,6.0,6-0,,,1.0,1.0,,,,,,,,82.0,,,,,,,Justin Bethel,,,,4.0,,,,,,BethJu00,rcb,,,,,,,,,,,,,,,,,,,,,,0.0,,2017,19.0,ARI,,,,,,,,,,200,,,,,,,,,,,82.0
,,,,,1.0,2.0,,1990-06-17,,,,,,,,,,,,,,,,,,,,,,14.0,0.0,6-0,,,,,,,,,,,,,,,,,,,Justin Bethel,,,,,,,,,,BethJu00,,,,,,,,,,,,,,,,,,,,,,,0.0,,2018,12.0,ATL,,,,,,,,,,200,,,,,,,,,,,
,,,,,,0.0,,1990-06-17,,,,,,,,,,,,,,,,,0.0,0.0,3.0,0.0,,15.0,0.0,6-0,,,,,,,,,,,,,,,,,,,Justin Bethel,,,,,,,,,,BethJu00,,,,,,,,,,,,,,,,,,,,,,,0.0,,2019,1.0,2TM,,,,,,,,,,200,,,,,,,,,,0.0,
,,,,,,,,1990-06-17,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.0,,8.0,0.0,6-0,,,,,,,,,,,,,,,,,,,Justin Bethel,,,,,,,,,,BethJu00,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,NWE,,,,,,,,,,200,,,,,,,,,,0.0,
,,,,,18.0,23.0,,1990-06-17,,,,,,,,,,,,,,,,,0.0,4.0,9.0,0.0,,125.0,14.0,6-0,,,4.0,3.0,,,,,,,,82.0,,,,,,,Justin Bethel,,,,19.0,,,,,,BethJu00,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,129.0,,,,,,,,,,,200,,,,,,,,,,-3.0,169.0
,,,,,2.0,,,1990-01-26,,100.0,,,,,,,,,,,,,,,0,,,,,10.0,0.0,5-11,,,,,,,,,,,,,,,,,11,27,Brandon Bolden,,,,,,,,,,BoldBr00,,,,,,,,0,11,1.1,5.5,2,0.2,56,5.6,2,274,4.9,27.4,2,,,,,2012,,NWE,,,2,,,,58,,,220,285,,,,,,,,4.9,,
,,,,,3.0,,,1990-01-26,,72.4,,,,,,,,,,,,,,,0,,,,,12.0,2.0,5-11,,,,,,,,,,,,,,,,,18,46,Brandon Bolden,,,,,,,,,,BoldBr00,rb,,,,,,,0,152,12.7,7.2,21,1.8,55,4.6,3,271,4.9,22.6,3,,,,,2013,,NWE,,,29,,,,76,,,220,423,,,,,,,,5.6,,
,,,,,1.0,2.0,,1990-01-26,,33.3,,,,,,,,,,,,,,,0,1.0,0.0,0.0,,16.0,2.0,5-11,,,,,,,,,,,,,,,,,4,17,Brandon Bolden,,,,,,,,,,BoldBr00,rb,,,,,,,0,8,0.5,4.0,2,0.1,28,1.8,1,89,3.2,5.6,1,,,0.0,,2014,6.0,NWE,,,6,,,,30,,,220,97,,,,,,,,3.2,0.0,
,,,,,3.0,1.0,,1990-01-26,,63.3,,,,,,,,,,,,,,,0,,,,,15.0,2.0,5-11,,,,,,,,,,,,,,,,,63,14,Brandon Bolden,,,,,,,,,,BoldBr00,rb,,,,,,,2,180,12.0,9.5,19,1.3,63,4.2,0,207,3.3,13.8,2,,,0.0,,2015,2.0,NWE,,,30,,,,82,,,220,387,,,,,,,,4.7,,
,,,,,0.0,,,1990-01-26,,50.0,,,,,,,,,,,,,,,0,1.0,1.0,0.0,,14.0,0.0,5-11,,,,,,,,,,,,,,,,,13,4,Brandon Bolden,,,,,,,,,,BoldBr00,,,,,,,,0,15,1.1,7.5,2,0.1,1,0.1,0,4,4.0,0.3,0,,,0.0,,2016,,NWE,,,4,,,,3,,,220,19,,,,,,,,6.3,0.0,
,,,,,1.0,,,1990-01-26,,25.0,,,,,,,,,,,,,,,0,,,,,16.0,0.0,5-11,,,,,,,,,,,,,,,,,7,20,Brandon Bolden,,,,,,,,,,BoldBr00,,,,,,,,0,7,0.4,7.0,1,0.1,13,0.8,0,67,5.2,4.2,0,,,,,2017,,NWE,,,4,,,,14,,,220,74,,,,,,,,5.3,,
,,,,,1.0,2.0,,1990-01-26,,100.0,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,16.0,0.0,5-11,,,,,,,,,,,,,,,,,9,54,Brandon Bolden,,,,,,,,,,BoldBr00,,,,,,,,1,13,0.8,4.3,3,0.2,8,0.5,2,91,11.4,5.7,3,,,0.0,,2018,4.0,MIA,,,3,,,,11,,,220,104,,,,,,,,9.5,0.0,
,,,,656.0,,,,1990-01-26,,81.8,,,,,,,,,,,,,,,0,,,,,14.0,2.0,5-11,,,,,,0.0,477.0,22.0,,,,,34.0,,,,29,21,Brandon Bolden,,,,,,,,,,BoldBr00,rb,,,,,,,1,111,7.9,12.3,9,0.6,15,1.1,3,68,4.5,4.9,4,,,,,2019,,NWE,,,11,,,,24,,,220,179,,,,,21.7,,,7.5,,
,,,,2045.0,11.0,6.0,,1990-01-26,,66.3,,,,,,,,,,,,,,,1,3.0,1.0,0.0,,113.0,8.0,5-11,,,,,,0.0,477.0,22.0,,,,,34.0,,,,63,54,Brandon Bolden,,,,,,,,,,BoldBr00,,,,,,,,4,497,4.4,8.4,59,0.5,239,2.1,11,1071,4.5,9.5,15,,,0.0,,Career,12.0,,,,89,,,,298,,,220,1568,,,,,21.7,,,5.3,0.0,
,2.0,2.0,,,0.0,,3,1977-08-03,,,1,,,,,,,,,,,,,,,,,,,1.0,0.0,6-4,0.0,,,,0,,,,,,,,,6,,,,,Tom Brady,,2.0,,,33.3,0.0,0,6,2.0,BradTo00,,,,,,,42.4,,,,,,,,,,,,,,,,,,2000,,NWE,,,,0,,,,,,225,,0,,6.0,6.0,,,,,,
102.0,5.39,6.4,105.0,,12.0,0.0,413,1977-08-03,,100.0,264,117.0,,,,,,,,,,3.0,,,12.0,0.0,4.0,0.0,3.0,15.0,14.0,6-4,2.9,105.0,,,12,,,,,,,,,91,,,23.0,12.0,Tom Brady,99.0,5.79,111.0,,63.9,4.4,18,2843,6.9,BradTo00,QB,,,,,11-3-0,86.5,0.0,23.0,1.5,23.0,1.0,0.1,36.0,2.4,0.0,43.0,1.2,2.9,0.0,,86.0,0.0,,2001,3.0,NWE,,,1.0,41,,106.0,37.0,,,225,66.0,216,103.0,10.8,189.5,,,,1.8,-18.0,
105.0,5.54,6.1,102.0,,13.0,0.0,601,1977-08-03,,,373,110.0,,,,,,,,,,2.0,,,11.0,0.0,5.0,0.0,3.0,16.0,16.0,6-4,2.3,115.0,,,14,,,,,,,,,49,,,,15.0,Tom Brady,96.0,5.66,110.0,,62.1,4.7,28,3764,6.3,BradTo00,QB,,,,,9-7-0,85.7,,,,,,,42.0,2.6,1.0,110.0,2.6,6.9,1.0,,111.0,0.0,,2002,1.0,NWE,,,,31,,111.0,42.0,,,225,110.0,190,90.0,10.1,235.3,,,,2.6,-32.0,
107.0,5.94,6.7,107.0,,11.0,,527,1977-08-03,0.0,,317,102.0,,,,,,,,,,3.0,,,13.0,0.0,3.0,0.0,5.0,16.0,16.0,6-4,2.3,115.0,,,12,,,,,,,,,82,36.0,,,11.0,Tom Brady,102.0,6.08,107.0,,60.2,4.4,23,3620,6.9,BradTo00,QB,,,,1.0,14-2-0,85.9,,,,,,,42.0,2.6,1.0,63.0,1.5,3.9,1.0,,105.0,0.0,,2003,,NWE,,,,32,36.0,103.0,42.0,,,225,63.0,219,101.0,11.4,226.3,,36.0,,1.5,-5.0,
118.0,6.92,7.6,117.0,,15.0,0.0,474,1977-08-03,,,288,105.0,,,,,,,,,,0.0,,,7.0,0.0,1.0,0.0,1.0,16.0,16.0,6-4,3.0,104.0,,,14,,,,,,,,,50,,,,10.0,Tom Brady,118.0,7.06,115.0,,60.8,5.9,28,3692,7.8,BradTo00,QB,,,,,14-2-0,92.6,,,,,,,43.0,2.7,0.0,28.0,0.7,1.8,0.0,,110.0,0.0,,2004,2.0,NWE,,,,26,,122.0,43.0,,,225,28.0,162,117.0,12.8,230.8,,,,0.7,-17.0,
116.0,6.86,7.5,115.0,,15.0,,530,1977-08-03,,,334,111.0,,,,,,,,,,3.0,,,4.0,0.0,0.0,0.0,4.0,16.0,16.0,6-4,2.6,109.0,,,14,,,,,,,,,71,,,,15.0,Tom Brady,117.0,7.05,114.0,,63.0,4.9,26,4110,7.8,BradTo00,QB,,,,,10-6-0,92.3,,,,,,,27.0,1.7,1.0,89.0,3.3,5.6,1.0,,113.0,0.0,,2005,,NWE,,,,26,,110.0,27.0,,,225,89.0,188,115.0,12.3,256.9,,,,3.3,0.0,
108.0,6.08,6.7,106.0,,14.0,,516,1977-08-03,,,319,105.0,67.2,,,,,,,,,2.0,,,12.0,0.0,1.0,0.0,2.0,16.0,16.0,6-4,2.3,113.0,,,12,,,,,,,,,62,,,,22.0,Tom Brady,104.0,6.19,109.0,,61.8,4.7,24,3529,6.8,BradTo00,QB,,,,,12-4-0,87.9,,,,,,,49.0,3.1,0.0,102.0,2.1,6.4,0.0,,110.0,0.0,,2006,,NWE,,,,26,,107.0,49.0,,,225,102.0,175,100.0,11.1,220.6,,,,2.1,-2.0,
142.0,8.88,9.4,142.0,,24.0,,578,1977-08-03,,,398,129.0,88.5,,,,,,,,,4.0,,,6.0,0.0,1.0,0.0,4.0,16.0,16.0,6-4,1.4,126.0,,,8,,,,,,,,,69,,,,19.0,Tom Brady,132.0,7.81,148.0,,68.9,8.7,50,4806,8.3,BradTo00,QB,,,,,16-0-0,117.2,,,,,,,37.0,2.3,2.0,98.0,2.6,6.1,2.0,,117.0,0.0,,2007,,NWE,,,,21,,153.0,37.0,,,225,98.0,128,130.0,12.1,300.4,,,,2.6,0.0,
,6.91,6.9,,,0.0,,11,1977-08-03,,,7,,69.7,,,,,,,,,,,,,,,,,1.0,1.0,6-4,0.0,,,,0,,,,,,,,,26,,,,,Tom Brady,,6.91,,,63.6,0.0,0,76,6.9,BradTo00,qb,,,,,1-0-0,83.9,,,,,,,,,,,,,,,,,,2008,,NWE,,,,0,,,,,,225,,0,,10.9,76.0,,,,,,
120.0,7.38,7.7,115.0,,16.0,,565,1977-08-03,,,371,116.0,73.2,,,,,,,,,1.0,,,4.0,0.0,0.0,0.0,1.0,16.0,16.0,6-4,2.3,109.0,,,13,,,,,,,,,81,,,,9.0,Tom Brady,122.0,7.42,116.0,,65.7,5.0,28,4398,7.8,BradTo00,QB,,,,,10-6-0,96.2,,,,,,,29.0,1.8,1.0,44.0,1.5,2.8,1.0,,125.0,0.0,,2009,,NWE,,,,16,,110.0,29.0,,,225,44.0,86,115.0,11.9,274.9,,,,1.5,0.0,
128.0,8.25,9.0,127.0,,18.0,,492,1977-08-03,,,324,117.0,78.3,,,,,,,,,2.0,,,3.0,0.0,1.0,0.0,3.0,16.0,16.0,6-4,0.8,129.0,,,4,,,,,,,,,79,,,,9.0,Tom Brady,116.0,7.21,130.0,,65.9,7.3,36,3900,7.9,BradTo00,QB,,,,,14-2-0,111.0,,,,,,,31.0,1.9,1.0,30.0,1.0,1.9,1.0,,110.0,0.0,,2010,,NWE,,,,25,,135.0,31.0,,,225,30.0,175,115.0,12.0,243.8,,,,1.0,-5.0,
132.0,8.25,9.0,130.0,,21.0,,611,1977-08-03,,,401,118.0,75.2,,,,,,,,,1.0,,,6.0,0.0,3.0,0.0,2.0,16.0,16.0,6-4,2.0,114.0,,,12,,,,,,,,,99,,,,13.0,Tom Brady,132.0,7.87,127.0,,65.6,6.4,39,5235,8.6,BradTo00,QB,,,,,13-3-0,105.6,,,,,,,43.0,2.7,3.0,109.0,2.5,6.8,3.0,,110.0,0.0,,2011,,NWE,,,,32,,124.0,43.0,,,225,109.0,173,130.0,13.1,327.2,,,,2.5,-8.0,
120.0,7.48,8.1,117.0,,18.0,0.0,637,1977-08-03,,,401,108.0,76.1,,,,,,,,,1.0,,,2.0,0.0,1.0,0.0,2.0,16.0,16.0,6-4,1.3,124.0,,,8,,,,,,,,,83,,,,7.0,Tom Brady,114.0,7.0,116.0,,63.0,5.3,34,4827,7.6,BradTo00,QB,,,,,12-4-0,98.7,,,,,,,23.0,1.4,4.0,32.0,1.4,2.0,4.0,,119.0,0.0,,2012,2.0,NWE,,,,27,,111.0,23.0,,,225,32.0,182,109.0,12.0,301.7,,,,1.4,-3.0,
102.0,6.13,6.9,101.0,,13.0,,628,1977-08-03,0.0,,380,96.0,62.1,,,,,,,,,5.0,,,10.0,0.0,5.0,0.0,5.0,16.0,16.0,6-4,1.8,115.0,,,11,,,,,,,,,81,32.0,,,11.0,Tom Brady,97.0,6.12,101.0,,60.5,4.0,25,4343,6.9,BradTo00,QB,,,,1.0,12-4-0,87.3,,,,,,,32.0,2.0,0.0,18.0,0.6,1.1,0.0,,103.0,0.0,,2013,,NWE,,,,40,32.0,95.0,32.0,,,225,18.0,256,95.0,11.4,271.4,,32.0,,0.6,-10.0,
113.0,7.01,7.5,108.0,,16.0,0.0,582,1977-08-03,,,373,107.0,76.2,,,,,,,,,2.0,,,6.0,0.0,1.0,0.0,2.0,16.0,16.0,6-4,1.5,117.0,,,9,,,,,,,,,69,,,,17.0,Tom Brady,106.0,6.59,112.0,,64.1,5.7,33,4109,7.1,BradTo00,QB,,,,,12-4-0,97.4,,,,,,,36.0,2.3,0.0,57.0,1.6,3.6,0.0,,122.0,0.0,,2014,1.0,NWE,,,,21,,113.0,36.0,,,225,57.0,134,97.0,11.0,256.8,,,,1.6,-4.0,
119.0,7.48,8.3,119.0,,17.0,,624,1977-08-03,,100.0,402,106.0,68.0,,,,,,,,,2.0,,,6.0,0.0,2.0,0.0,2.0,16.0,16.0,6-4,1.1,123.0,,,7,,,,,,,,,76,,,36.0,13.0,Tom Brady,111.0,6.87,119.0,,64.4,5.8,36,4770,7.6,BradTo00,QB,,,,,12-4-0,102.2,0.0,36.0,2.3,36.0,1.0,0.1,34.0,2.1,3.0,53.0,1.6,3.3,3.0,,103.0,0.0,,2015,,NWE,,,1.0,38,,116.0,35.0,,,225,89.0,225,111.0,11.9,298.1,,,,2.5,0.0,
138.0,8.81,9.3,133.0,,13.0,,432,1977-08-03,,,291,119.0,79.1,,,,,,,,,1.0,,,5.0,0.0,4.0,0.0,1.0,12.0,12.0,6-4,0.5,134.0,,,2,,,,,,,,,79,,,,15.0,Tom Brady,131.0,7.76,133.0,,67.4,6.5,28,3554,8.2,BradTo00,QB,,,,,11-1-0,112.2,,,,,,,28.0,2.3,0.0,64.0,2.3,5.3,0.0,,123.0,0.0,,2016,,NWE,,,,15,,125.0,28.0,,,225,64.0,87,125.0,12.2,296.2,,,,2.3,-1.0,
119.0,7.56,8.4,118.0,,19.0,,581,1977-08-03,,,385,110.0,73.2,,,,,,,,,2.0,,,7.0,0.0,2.0,0.0,2.0,16.0,16.0,6-4,1.4,116.0,,,8,,,,,,,,,64,,,,7.0,Tom Brady,115.0,7.1,117.0,,66.3,5.5,32,4577,7.9,BradTo00,QB,,,,,13-3-0,102.8,,,,,,,25.0,1.6,0.0,28.0,1.1,1.8,0.0,,105.0,0.0,,2017,,NWE,,,,35,,112.0,25.0,,,225,28.0,201,114.0,11.9,286.1,,,,1.1,-24.0,
115.0,7.26,7.8,110.0,,14.0,,570,1977-08-03,,100.0,375,108.0,66.6,,,,,,,,,1.0,,,4.0,0.0,0.0,0.0,2.0,16.0,16.0,6-4,1.9,107.0,,,11,,,,,,,,,63,,,6.0,10.0,Tom Brady,115.0,7.12,110.0,,65.8,5.1,29,4355,7.6,BradTo00,QB,,,,,11-5-0,97.7,0.0,6.0,0.4,6.0,1.0,0.1,23.0,1.4,2.0,35.0,1.5,2.2,2.0,,123.0,0.0,,2018,,NWE,,,1.0,21,,107.0,24.0,,,225,41.0,147,108.0,11.6,272.2,,,,1.7,0.0,
99.0,6.2,6.8,94.0,,,,584,1977-08-03,,,357,88.0,53.1,,,,,,,,,1.0,,,4.0,0.0,3.0,0.0,1.0,15.0,15.0,6-4,1.2,118.0,,,7,,,,,,,,,59,,,,17.0,Tom Brady,93.0,5.99,95.0,,61.1,3.8,22,3836,6.6,BradTo00,QB,,,,,12-3-0,88.0,,,,,,,26.0,1.7,3.0,34.0,1.3,2.3,3.0,,118.0,0.0,,2019,,NWE,,,,26,,91.0,26.0,,,225,34.0,181,86.0,10.7,255.7,,,,1.3,0.0,
,7.08,7.7,,,269.0,0.0,9959,1977-08-03,0.0,100.0,6361,,,,,,,,,,,36.0,,,122.0,0.0,37.0,0.0,45.0,284.0,282.0,6-4,1.8,,,,178,,,,,,,,,99,36.0,,36.0,22.0,Tom Brady,,6.81,,,63.9,5.4,539,74350,7.5,BradTo00,,,,,2.0,219-63-0,97.0,0.0,65.0,0.2,21.7,3.0,0.0,606.0,2.1,22.0,1037.0,1.7,3.7,22.0,,,0.0,,Career,9.0,,,,3.0,499,68.0,,609.0,,,225,1102.0,3125,,11.7,261.8,,34.0,,1.8,-129.0,
,,,,,1.0,3.0,,1992-03-02,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,11.0,0.0,5-11,,,0,0,,,,,,,,0,,,,,,,Terrence Brooks,,,,2,,,,,,BrooTe00,,,,,,,,,,,,,,,,,,,,,,,0.0,,2014,16.0,BAL,,,,,,,,,,205,,,,,,,,,,0.0,0
,,,,,1.0,1.0,,1992-03-02,,,,,,,,,,,,,,,,,,,,,,12.0,0.0,5-11,,,0,0,,,,,,,,0,,,,,,,Terrence Brooks,,,,1,,,,,,BrooTe00,,,,,,,,,,,,,,,,,,,,,,,0.0,,2015,6.0,BAL,,,,,,,,,,205,,,,,,,,,,,0
,,,,,1.0,,,1992-03-02,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,,11.0,0.0,5-11,,,1,0,,,,,,,,6,,,,,,,Terrence Brooks,,,,1,,,,,,BrooTe00,,,,,,,,,,,,,,,,,,,,,,,0.0,,2016,,PHI,,,,,,,,,,205,,,,,,,,,,0.0,6
,,,,,2.0,2.0,,1992-03-02,,,,,,,,,,,,,,,,,,,,,,15.0,1.0,5-11,,,2,0,,,,,,,,13,,,,,,,Terrence Brooks,,,,3,,,,,,BrooTe00,db,,,,,,,,,,,,,,,,,,,,,,0.0,,2017,5.0,NYJ,,,,,,,,,,205,,,,,,,,,,,13
,,,,0.0,1.0,1.0,,1992-03-02,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,,16.0,0.0,5-11,,,0,0,,,,,,,,0,,,,0.0,,,Terrence Brooks,,,,1,,,,,,BrooTe00,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,0.0,,2018,9.0,NYJ,,,,,,,,,,205,,,,,,,,0.0,,0.0,0
,,,,,,7.0,,1992-03-02,,,,,,,,,,,,,,,,,,,,,,15.0,0.0,5-11,,,1,0,,,,,,,,0,,,,,,,Terrence Brooks,,,,3,,,,,,BrooTe00,,,,,,,,,,,,,,,,,,,,,,,0.0,,2019,15.0,NWE,,,,,,,,,,205,,,,,,,,,,,0
,,,,19.0,6.0,14.0,,1992-03-02,,,,,,,,,,,,,,,,,1.0,2.0,2.0,0.0,,80.0,1.0,5-11,,,4,0,,,,,,,,13,,,,0.0,,,Terrence Brooks,,,,11,,,,,,BrooTe00,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,0.0,,Career,51.0,,,,,,,,,,,205,,,,,,,,0.0,,0.0,19
,,,,,0.0,,,1990-07-02,,,,,,,,,,,,,,,,,0,,,,,1.0,0.0,5-10,,,,,,,,,,,,,,,,,,0,Rex Burkhead,,,,,,,,,,BurkRe00,,,,,,,,,,,,,,0,0.0,0,0,,0.0,0,,,,,2013,,CIN,,,,,,,0,,,215,0,,,,,,,,,,
,,,,,1.0,4.0,,1990-07-02,,70.0,,,,,,,,,,,,,,,0,,,,,9.0,0.0,5-10,,,,,,,,,,,,,,,,,15.0,10,Rex Burkhead,,,,,,,,,,BurkRe00,,,,,,,,0.0,49.0,5.4,7.0,7.0,0.8,9,1.0,1,27,3.0,3.0,1,,,0.0,,2014,1.0,CIN,,,10.0,,,,16,,,215,76,,,,,,,,4.8,,
,,,,,1.0,,,1990-07-02,,66.7,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,16.0,0.0,5-10,,,,,,,,,,,,,,,,,27.0,2,Rex Burkhead,,,,,,,,,,BurkRe00,,,,,,,,1.0,94.0,5.9,9.4,10.0,0.6,4,0.3,0,4,1.0,0.3,1,,,0.0,,2015,,CIN,,,15.0,,,,14,,,215,98,,,,,,,,7.0,0.0,
,,,,603.0,3.0,,,1990-07-02,,85.0,,,,,,,,,,,,,,,1,1.0,0.0,0.0,,16.0,1.0,5-10,,,,,,0.0,114.0,6.0,,,,,26.0,,,,18.0,17,Rex Burkhead,,,,,,,,,,BurkRe00,rb,,,,,,,0.0,145.0,9.1,8.5,17.0,1.1,74,4.6,2,344,4.6,21.5,2,,,0.0,,2016,,CIN,,,20.0,,,,91,,,215,489,,,,,19.0,,,5.4,0.0,
,,,,535.0,5.0,,,1990-07-02,,83.3,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,10.0,3.0,5-10,,,,,,0.0,17.0,1.0,,,,,17.0,,,,23.0,31,Rex Burkhead,,,,,,,,,,BurkRe00,rb,,,,,,,3.0,254.0,25.4,8.5,30.0,3.0,64,6.4,5,264,4.1,26.4,8,,,0.0,,2017,,NWE,,,36.0,,,,94,,,215,518,,,,,17.0,,,5.5,0.0,
,,,,,2.0,1.0,,1990-07-02,,70.0,,,,,,,,,,,,,,,2,0.0,0.0,0.0,,8.0,4.0,5-10,,,,,,,,,,,,,,,,,25.0,12,Rex Burkhead,,,,,,,,,,BurkRe00,rb/wr,,,,,,,1.0,131.0,16.4,9.4,14.0,1.8,57,7.1,0,186,3.3,23.3,1,,,0.0,,2018,1.0,NWE,,,20.0,,,,71,,,215,317,,,,,,,,4.5,0.0,
,,,,,,,,1990-07-02,,70.3,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,12.0,1.0,5-10,,,,,,,,,,,,,,,,,32.0,33,Rex Burkhead,,,,,,,,,,BurkRe00,rb,,,,,,,0.0,273.0,22.8,10.5,26.0,2.2,59,4.9,3,254,4.3,21.2,3,,,0.0,,2019,,NWE,,,37.0,,,,85,,,215,527,,,,,,,,6.2,0.0,
